timestamp,phase,base_pos_x,base_pos_y,base_pos_z,base_yaw,base_quat_w,base_quat_x,base_quat_y,base_quat_z,base_lin_vel_x_body,base_lin_vel_y_body,base_ang_vel_z_body,cmd_vx,cmd_vy,cmd_wz,ee_pos_x,ee_pos_y,ee_pos_z,ee_roll,ee_pitch,ee_yaw,arm_joint1,arm_joint2,arm_joint3,arm_joint4,arm_joint5,arm_joint6,gripper,arm_action_joint1,arm_action_joint2,arm_action_joint3,arm_action_joint4,arm_action_joint5,arm_action_joint6,gripper_action,object_pos_x,object_pos_y,object_pos_z,object_quat_w,object_quat_x,object_quat_y,object_quat_z,front_image,wrist_image,success,failure_reason
0.0,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0008949973489507101,,,,,,,0.043,,,,,,,,,,,
0.02,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0009095621317101177,,,,,,,0.043,,,,,,,,,,,
0.04,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0009998857349273749,,,,,,,0.043,,,,,,,,,,,
0.06,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0012241744116181508,,,,,,,0.043,,,,,,,,,,,
0.08,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0016023488715291023,,,,,,,0.043,,,,,,,,,,,
0.1,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002162324730306864,,,,,,,0.043,,,,,,,,,,,
0.12,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0029253182001411915,,,,,,,0.043,,,,,,,,,,,
0.14,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0038955077761784196,,,,,,,0.043,,,,,,,,,,,
0.16,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005076325265690684,,,,,,,0.043,,,,,,,,,,,
0.18,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006464417790994048,,,,,,,0.043,,,,,,,,,,,
0.2,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008047723909839988,,,,,,,0.043,,,,,,,,,,,
0.22,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00981199275702238,,,,,,,0.043,,,,,,,,,,,
0.24,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011737362947314978,,,,,,,0.043,,,,,,,,,,,
0.26,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013799901586025953,,,,,,,0.043,,,,,,,,,,,
0.28,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015973540488630533,,,,,,,0.043,,,,,,,,,,,
0.3,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01822914183139801,,,,,,,0.043,,,,,,,,,,,
0.32,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.020535985939204693,,,,,,,0.043,,,,,,,,,,,
0.34,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02286220993846655,,,,,,,0.043,,,,,,,,,,,
0.36,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025175873190164566,,,,,,,0.043,,,,,,,,,,,
0.38,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02744501270353794,,,,,,,0.043,,,,,,,,,,,
0.4,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029638340696692467,,,,,,,0.043,,,,,,,,,,,
0.42,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.031726937741041183,,,,,,,0.043,,,,,,,,,,,
0.44,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03368334099650383,,,,,,,0.043,,,,,,,,,,,
0.46,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.035483593121171,,,,,,,0.043,,,,,,,,,,,
0.48,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.037106942385435104,,,,,,,0.043,,,,,,,,,,,
0.5,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0385370459407568,,,,,,,0.043,,,,,,,,,,,
0.52,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.039762815460562706,,,,,,,0.043,,,,,,,,,,,
0.54,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04077806696295738,,,,,,,0.043,,,,,,,,,,,
0.56,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.041583698242902756,,,,,,,0.043,,,,,,,,,,,
0.58,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04218665696680546,,,,,,,0.043,,,,,,,,,,,
0.6,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04260234348475933,,,,,,,0.043,,,,,,,,,,,
0.62,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.042854148894548416,,,,,,,0.043,,,,,,,,,,,
0.64,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04297352954745293,,,,,,,0.043,,,,,,,,,,,
0.66,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04300341010093689,,,,,,,0.043,,,,,,,,,,,
0.68,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04299953393638134,,,,,,,0.043,,,,,,,,,,,
0.68,grasp,,,,,,,,,,,,,,,,,,,,,0.006786399055272341,0.0660790503025055,0.08555207401514053,0.04179680347442627,-0.0336894653737545,-0.0035988653544336557,0.04299953393638134,0.0067865364253520966,0.0655575767159462,0.08762355893850327,0.04181581363081932,-0.033686988055706024,-0.0035987766459584236,,,,,,,,,,,,
0.7000000000000001,grasp,,,,,,,,,,,,,,,,,,,,,0.0067864167504012585,0.06608352065086365,0.08553478866815567,0.041796617209911346,-0.03369196876883507,-0.0035987377632409334,0.04299953393638134,0.0067865364253520966,0.0655575767159462,0.08762355893850327,0.04181581363081932,-0.033686988055706024,-0.0035987766459584236,,,,,,,,,,,,
0.7200000000000001,grasp,,,,,,,,,,,,,,,,,,,,,0.006795855704694986,0.06614502519369125,0.08558706939220428,0.04179178550839424,-0.033691827207803726,-0.003598533570766449,0.04299953393638134,0.0068064185486978795,0.06567992504321987,0.08775065403752333,0.041806012243198104,-0.03368421750820205,-0.0035984922055682044,,,,,,,,,,,,
0.74,grasp,,,,,,,,,,,,,,,,,,,,,0.006800830364227295,0.06617645174264908,0.08561542630195618,0.041789308190345764,-0.033691853284835815,-0.0035984262358397245,0.04299953393638134,0.0068064185486978795,0.06567992504321987,0.08775065403752333,0.041806012243198104,-0.03368421750820205,-0.0035984922055682044,,,,,,,,,,,,
0.76,grasp,,,,,,,,,,,,,,,,,,,,,0.006867291871458292,0.06659111380577087,0.08604362607002258,0.041755806654691696,-0.03368221968412399,-0.0035974509082734585,0.04299953393638134,0.006941108249700652,0.06650877702544737,0.08861165615911452,0.041739620249915406,-0.03366543939362562,-0.0035965657894790302,,,,,,,,,,,,
0.78,grasp,,,,,,,,,,,,,,,,,,,,,0.00690231891348958,0.06680572032928467,0.08627236634492874,0.041738636791706085,-0.0336778499186039,-0.003596935188397765,0.04299953393638134,0.006941108249700652,0.06650877702544737,0.08861165615911452,0.041739620249915406,-0.03366543939362562,-0.0035965657894790302,,,,,,,,,,,,
0.8,grasp,,,,,,,,,,,,,,,,,,,,,0.007087829522788525,0.06796516478061676,0.08746980875730515,0.04164543375372887,-0.03365066647529602,-0.0035942515823990107,0.04299953393638134,0.007293594601620467,0.06867790695328883,0.090864927856999,0.04156587250618668,-0.0336162937000066,-0.003591524485798882,,,,,,,,,,,,
0.8200000000000001,grasp,,,,,,,,,,,,,,,,,,,,,0.007185556460171938,0.0685574859380722,0.08810906112194061,0.04159761965274811,-0.033638156950473785,-0.0035928331781178713,0.04299953393638134,0.007293594601620467,0.06867790695328883,0.090864927856999,0.04156587250618668,-0.0336162937000066,-0.003591524485798882,,,,,,,,,,,,
0.8400000000000001,grasp,,,,,,,,,,,,,,,,,,,,,0.007552105467766523,0.07084031403064728,0.09045887738466263,0.041414834558963776,-0.033584821969270706,-0.003587573766708374,0.04299953393638134,0.007954421449805764,0.07274450978013614,0.09508928933223783,0.04124013587147614,-0.03352415885993099,-0.0035820731832045967,,,,,,,,,,,,
