timestamp,phase,base_pos_x,base_pos_y,base_pos_z,base_yaw,base_quat_w,base_quat_x,base_quat_y,base_quat_z,base_lin_vel_x_body,base_lin_vel_y_body,base_ang_vel_z_body,cmd_vx,cmd_vy,cmd_wz,ee_pos_x,ee_pos_y,ee_pos_z,ee_roll,ee_pitch,ee_yaw,arm_joint1,arm_joint2,arm_joint3,arm_joint4,arm_joint5,arm_joint6,gripper,arm_action_joint1,arm_action_joint2,arm_action_joint3,arm_action_joint4,arm_action_joint5,arm_action_joint6,gripper_action,object_pos_x,object_pos_y,object_pos_z,object_quat_w,object_quat_x,object_quat_y,object_quat_z,front_image,wrist_image,success,failure_reason
0.0,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5363688038737564e-08,,,,,,,0.043,,,,,,,,,,,
0.02,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,4.836865628021769e-06,,,,,,,0.043,,,,,,,,,,,
0.04,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,4.073345371580217e-05,,,,,,,0.043,,,,,,,,,,,
0.06,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00014512734924210235,,,,,,,0.043,,,,,,,,,,,
0.08,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00035629399644676596,,,,,,,0.043,,,,,,,,,,,
0.1,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0007082444208208472,,,,,,,0.043,,,,,,,,,,,
0.12,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0012284161639399827,,,,,,,0.043,,,,,,,,,,,
0.14,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0019369293586350977,,,,,,,0.043,,,,,,,,,,,
0.16,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0028464412316679955,,,,,,,0.043,,,,,,,,,,,
0.18,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003962446935474873,,,,,,,0.043,,,,,,,,,,,
0.2,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00528381229378283,,,,,,,0.043,,,,,,,,,,,
0.22,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006803376600146294,,,,,,,0.043,,,,,,,,,,,
0.24,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008508467115461826,,,,,,,0.043,,,,,,,,,,,
0.26,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010381664149463177,,,,,,,0.043,,,,,,,,,,,
0.28,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012401456478983164,,,,,,,0.043,,,,,,,,,,,
0.3,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014542844146490097,,,,,,,0.043,,,,,,,,,,,
0.32,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016778121702373028,,,,,,,0.043,,,,,,,,,,,
0.34,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019077496603131294,,,,,,,0.043,,,,,,,,,,,
0.36,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021409733220934868,,,,,,,0.043,,,,,,,,,,,
0.38,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023742946796119213,,,,,,,0.043,,,,,,,,,,,
0.4,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026045159436762333,,,,,,,0.043,,,,,,,,,,,
0.42,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02828508522361517,,,,,,,0.043,,,,,,,,,,,
0.44,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03043272625654936,,,,,,,0.043,,,,,,,,,,,
0.46,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03246012330055237,,,,,,,0.043,,,,,,,,,,,
0.48,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.034341977909207344,,,,,,,0.043,,,,,,,,,,,
0.5,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0360563937574625,,,,,,,0.043,,,,,,,,,,,
0.52,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03758551739156246,,,,,,,0.043,,,,,,,,,,,
0.54,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0389162115752697,,,,,,,0.043,,,,,,,,,,,
0.56,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.040040791034698486,,,,,,,0.043,,,,,,,,,,,
0.58,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.040957579389214516,,,,,,,0.043,,,,,,,,,,,
0.6,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04167181812226772,,,,,,,0.043,,,,,,,,,,,
0.62,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.042196089401841164,,,,,,,0.043,,,,,,,,,,,
