timestamp,phase,base_pos_x,base_pos_y,base_pos_z,base_yaw,base_quat_w,base_quat_x,base_quat_y,base_quat_z,base_lin_vel_x_body,base_lin_vel_y_body,base_ang_vel_z_body,cmd_vx,cmd_vy,cmd_wz,ee_pos_x,ee_pos_y,ee_pos_z,ee_roll,ee_pitch,ee_yaw,arm_joint1,arm_joint2,arm_joint3,arm_joint4,arm_joint5,arm_joint6,gripper,arm_action_joint1,arm_action_joint2,arm_action_joint3,arm_action_joint4,arm_action_joint5,arm_action_joint6,gripper_action,object_pos_x,object_pos_y,object_pos_z,object_quat_w,object_quat_x,object_quat_y,object_quat_z,front_image,wrist_image,success,failure_reason
0.0,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.2176868341716727e-08,,,,,,,0.043,,,,,,,,,,,
0.02,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,1.458652559449547e-05,,,,,,,0.043,,,,,,,,,,,
0.04,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00010978052523569204,,,,,,,0.043,,,,,,,,,,,
0.06,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00033833744237199426,,,,,,,0.043,,,,,,,,,,,
0.08,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0007235826924443245,,,,,,,0.043,,,,,,,,,,,
0.1,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0012965153437107801,,,,,,,0.043,,,,,,,,,,,
0.12,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002075346652418375,,,,,,,0.043,,,,,,,,,,,
0.14,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003065897850319743,,,,,,,0.043,,,,,,,,,,,
0.16,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004272411577403545,,,,,,,0.043,,,,,,,,,,,
0.18,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0056896142195910215,,,,,,,0.043,,,,,,,,,,,
0.2,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00730672013014555,,,,,,,0.043,,,,,,,,,,,
0.22,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009108577389270067,,,,,,,0.043,,,,,,,,,,,
0.24,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011074731592088938,,,,,,,0.043,,,,,,,,,,,
0.26,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013181255664676428,,,,,,,0.043,,,,,,,,,,,
0.28,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015400995034724474,,,,,,,0.043,,,,,,,,,,,
0.3,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017704596742987633,,,,,,,0.043,,,,,,,,,,,
0.32,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02006043028086424,,,,,,,0.043,,,,,,,,,,,
0.34,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02243615221232176,,,,,,,0.043,,,,,,,,,,,
0.36,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.024799066595733166,,,,,,,0.043,,,,,,,,,,,
0.38,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.027116259559988976,,,,,,,0.043,,,,,,,,,,,
0.4,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02935643307864666,,,,,,,0.043,,,,,,,,,,,
0.42,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03148931823670864,,,,,,,0.043,,,,,,,,,,,
0.44,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03348732553422451,,,,,,,0.043,,,,,,,,,,,
0.46,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.035325851291418076,,,,,,,0.043,,,,,,,,,,,
0.48,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03698370419442654,,,,,,,0.043,,,,,,,,,,,
0.5,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.038444312289357185,,,,,,,0.043,,,,,,,,,,,
0.52,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.039696045219898224,,,,,,,0.043,,,,,,,,,,,
0.54,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04073298163712025,,,,,,,0.043,,,,,,,,,,,
0.56,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04155565984547138,,,,,,,0.043,,,,,,,,,,,
0.58,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04217151924967766,,,,,,,0.043,,,,,,,,,,,
0.6,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04259607009589672,,,,,,,0.043,,,,,,,,,,,
0.62,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.042852988466620445,,,,,,,0.043,,,,,,,,,,,
0.64,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04297536052763462,,,,,,,0.043,,,,,,,,,,,
0.66,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.043005604296922684,,,,,,,0.043,,,,,,,,,,,
0.68,grasp,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04299843683838844,,,,,,,0.043,,,,,,,,,,,
0.68,grasp,,,,,,,,,,,,,,,,,,,,,-1.6379509304442763e-07,0.0010455928277224302,0.00012923199392389506,-3.9064027077984065e-05,7.619199493547058e-09,-1.0313413456586318e-09,0.04299843683838844,-8.641352167160221e-08,0.0005271427216939628,0.00012056425475748256,-1.9687518943101168e-05,1.8117085609503647e-09,-4.799415864731316e-10,,,,,,,,,,,,
0.7000000000000001,grasp,,,,,,,,,,,,,,,,,,,,,-1.6509765998762305e-07,0.0010503508383408189,0.000129241612739861,-3.9244179788511246e-05,7.488138997757687e-09,-9.723731819732961e-10,0.04299843683838844,-8.641352167160221e-08,0.0005271427216939628,0.00012056425475748256,-1.9687518943101168e-05,1.8117085609503647e-09,-4.799415864731316e-10,,,,,,,,,,,,
0.7200000000000001,grasp,,,,,,,,,,,,,,,,,,,,,0.00010306613694410771,0.0010846268851310015,0.00012907505151815712,-6.927632057340816e-05,1.7992907714869943e-06,-2.6177032097507436e-08,0.04299843683838844,0.0002175720332024503,0.0005929638123807493,0.0002446749757846673,-8.146702990943453e-05,1.4495347581942604e-06,-3.722349975793038e-10,,,,,,,,,,,,
0.74,grasp,,,,,,,,,,,,,,,,,,,,,0.00015749337035231292,0.001102462993003428,0.0001290617510676384,-8.475939830532297e-05,1.1677360589601449e-06,-3.090427913576832e-09,0.04299843683838844,0.0002175720332024503,0.0005929638123807493,0.0002446749757846673,-8.146702990943453e-05,1.4495347581942604e-06,-3.722349975793038e-10,,,,,,,,,,,,
0.76,grasp,,,,,,,,,,,,,,,,,,,,,0.000889961957000196,0.001325251185335219,0.00012743707338813692,-0.0002941628044936806,1.4061174624657724e-05,-1.823334798700671e-07,0.04299843683838844,0.0016818383790554497,0.0010357655898206278,0.0010796122925345888,-0.0004970798927225251,1.1188886331195238e-05,3.523459254531809e-10,,,,,,,,,,,,
0.78,grasp,,,,,,,,,,,,,,,,,,,,,0.0012700844090431929,0.001441566157154739,0.00012740663078147918,-0.0004021394706796855,8.975212949735578e-06,-1.1001700883639387e-08,0.04299843683838844,0.0016818383790554497,0.0010357655898206278,0.0010796122925345888,-0.0004970798927225251,1.1188886331195238e-05,3.523459254531809e-10,,,,,,,,,,,,
0.8,grasp,,,,,,,,,,,,,,,,,,,,,0.0033055946696549654,0.0020772640127688646,0.0005335312453098595,-0.0009819029364734888,4.259304841980338e-05,-4.6130929831633694e-07,0.04299843683838844,0.005486415046416206,0.002186278112527554,0.003249009139410333,-0.0015769592070044769,3.649446477213457e-05,2.2350111977410302e-09,,,,,,,,,,,,
0.8200000000000001,grasp,,,,,,,,,,,,,,,,,,,,,0.004361496772617102,0.0023930820170789957,0.0008198831346817315,-0.001280126627534628,2.969717388623394e-05,-1.4803267056606728e-08,0.04299843683838844,0.005486415046416206,0.002186278112527554,0.003249009139410333,-0.0015769592070044769,3.649446477213457e-05,2.2350111977410302e-09,,,,,,,,,,,,
0.8400000000000001,grasp,,,,,,,,,,,,,,,,,,,,,0.008328097872436047,0.00359366531483829,0.002901460276916623,-0.002408101921901107,9.228722046827897e-05,-8.223768759307859e-07,0.04299843683838844,0.012566363688069371,0.004323560861634784,0.007284238605024803,-0.003586479086879387,8.358496567738741e-05,5.73841563382273e-09,,,,,,,,,,,,
0.8600000000000001,grasp,,,,,,,,,,,,,,,,,,,,,0.010384958237409592,0.0042020706459879875,0.004014717414975166,-0.0029889775905758142,6.90952074364759e-05,1.5655698959449182e-09,0.04299843683838844,0.012566363688069371,0.004323560861634784,0.007284238605024803,-0.003586479086879387,8.358496567738741e-05,5.73841563382273e-09,,,,,,,,,,,,
0.8800000000000001,grasp,,,,,,,,,,,,,,,,,,,,,0.016831057146191597,0.0061471182852983475,0.007620111107826233,-0.00482182577252388,0.00016796428826637566,-1.2365937891445355e-06,0.04299843683838844,0.023710068520515725,0.007667351850499654,0.013625742550292209,-0.006749255495529609,0.00015770050936797072,1.1252413119446536e-08,,,,,,,,,,,,
0.9,grasp,,,,,,,,,,,,,,,,,,,,,0.020172415301203728,0.007133447099477053,0.009537176229059696,-0.005765747744590044,0.00013259642582852393,4.267441866545596e-08,0.04299843683838844,0.023710068520515725,0.007667351850499654,0.013625742550292209,-0.006749255495529609,0.00015770050936797072,1.1252413119446536e-08,,,,,,,,,,,,
0.92,grasp,,,,,,,,,,,,,,,,,,,,,0.029559461399912834,0.009939640760421753,0.014824073761701584,-0.008434477262198925,0.0002738827024586499,-1.6891494851734024e-06,0.04299843683838844,0.03957009712815035,0.012372749474511915,0.022625029984514364,-0.011250157511726484,0.0002631731977646659,1.9099309239950567e-08,,,,,,,,,,,,
0.9400000000000001,grasp,,,,,,,,,,,,,,,,,,,,,0.0344240702688694,0.011363565921783447,0.017630571499466896,-0.009808917529881,0.00022488593822345138,1.0706596498266663e-07,0.04299843683838844,0.03957009712815035,0.012372749474511915,0.022625029984514364,-0.011250157511726484,0.0002631731977646659,1.9099309239950567e-08,,,,,,,,,,,,
0.9600000000000001,grasp,,,,,,,,,,,,,,,,,,,,,0.04712811857461929,0.015106536448001862,0.024770600721240044,-0.013420130126178265,0.0004135256167501211,-2.155381480406504e-06,0.04299843683838844,0.06067037209063621,0.01853278829262561,0.03454917395150189,-0.017237347873148165,0.0004034749356694382,2.9537420412148616e-08,,,,,,,,,,,,
0.98,grasp,,,,,,,,,,,,,,,,,,,,,0.05371048301458359,0.01700633578002453,0.02855737879872322,-0.015279978513717651,0.0003498231526464224,1.932472031285215e-07,0.04299843683838844,0.06067037209063621,0.01853278829262561,0.03454917395150189,-0.017237347873148165,0.0004034749356694382,2.9537420412148616e-08,,,,,,,,,,,,
1.0,grasp,,,,,,,,,,,,,,,,,,,,,0.07002025842666626,0.02173561602830887,0.03769097849726677,-0.019915452226996422,0.0005895005306228995,-2.6285790681868093e-06,0.04299843683838844,0.08740116105841057,0.02620803531689652,0.04959461483867358,-0.024821131218856006,0.0005811905392282999,4.2759062186009685e-08,,,,,,,,,,,,
1.02,grasp,,,,,,,,,,,,,,,,,,,,,0.07846963405609131,0.024136444553732872,0.042531803250312805,-0.022302845492959023,0.0005104264710098505,3.0421452379414404e-07,0.04299843683838844,0.08740116105841057,0.02620803531689652,0.04959461483867358,-0.024821131218856006,0.0005811905392282999,4.2759062186009685e-08,,,,,,,,,,,,
1.04,grasp,,,,,,,,,,,,,,,,,,,,,0.09858338534832001,0.029894603416323662,0.05376391485333443,-0.02801877073943615,0.000803425966296345,-3.0801234061073046e-06,0.04299843683838844,0.12001359205210345,0.03545898037609321,0.06790153696074173,-0.0340726891376912,0.0007979881275849884,5.8888344891652e-08,,,,,,,,,,,,
1.06,grasp,,,,,,,,,,,,,,,,,,,,,0.10900218784809113,0.03281819447875023,0.0597134493291378,-0.03096267208456993,0.0007088391575962305,4.3160588347745943e-07,0.04299843683838844,0.12001359205210345,0.03545898037609321,0.06790153696074173,-0.0340726891376912,0.0007979881275849884,5.8888344891652e-08,,,,,,,,,,,,
1.08,grasp,,,,,,,,,,,,,,,,,,,,,0.13303640484809875,0.03963421285152435,0.07311007380485535,-0.037792157381772995,0.0010563518153503537,-3.506175744405482e-06,0.04299843683838844,0.1586396448555903,0.046322104133061856,0.08954864720125444,-0.04502949132123661,0.001054745680884972,7.799061216681673e-08,,,,,,,,,,,,
1.1,grasp,,,,,,,,,,,,,,,,,,,,,0.14548474550247192,0.04309549555182457,0.08020222187042236,-0.04130960628390312,0.000946321408264339,5.786545216324157e-07,0.04299843683838844,0.1586396448555903,0.046322104133061856,0.08954864720125444,-0.04502949132123661,0.001054745680884972,7.799061216681673e-08,,,,,,,,,,,,
1.12,grasp,,,,,,,,,,,,,,,,,,,,,0.17348472774028778,0.05097557604312897,0.09578757733106613,-0.04926541820168495,0.0013485488016158342,-3.898993327311473e-06,0.04299843683838844,0.20330874773278504,0.05879435273991813,0.11454918990082298,-0.05769981340898749,0.0013516567893842762,1.0008025999767071e-07,,,,,,,,,,,,
1.1400000000000001,grasp,,,,,,,,,,,,,,,,,,,,,0.18798567354679108,0.054977983236312866,0.10403402894735336,-0.05336301773786545,0.0012235080357640982,7.387893674604129e-07,0.04299843683838844,0.20330874773278504,0.05879435273991813,0.11454918990082298,-0.05769981340898749,0.0013516567893842762,1.0008025999767071e-07,,,,,,,,,,,,
1.1600000000000001,grasp,,,,,,,,,,,,,,,,,,,,,0.2199271023273468,0.06391587108373642,0.12179472297430038,-0.06243826076388359,0.0016795543488115072,-4.247754986863583e-06,0.04299843683838844,0.25394585016808985,0.07285973897575176,0.14286131903177876,-0.07206239304077941,0.0016882227013461368,1.2512022938434462e-07,,,,,,,,,,,,
1.1800000000000002,grasp,,,,,,,,,,,,,,,,,,,,,0.2364678978919983,0.06845653057098389,0.13118711113929749,-0.06711247563362122,0.0015402492135763168,9.115540819948365e-07,0.04299843683838844,0.25394585016808985,0.07285973897575176,0.14286131903177876,-0.07206239304077941,0.0016882227013461368,1.2512022938434462e-07,,,,,,,,,,,,
1.2000000000000002,grasp,,,,,,,,,,,,,,,,,,,,,0.2722644805908203,0.07842641323804855,0.1510745882987976,-0.0772826075553894,0.0020483974367380142,-4.548162451101234e-06,0.04299843683838844,0.3103858616589626,0.08846869177335613,0.17439078647958964,-0.08807037951970513,0.002063345562599709,1.5302883094118914e-07,,,,,,,,,,,,
1.2200000000000002,grasp,,,,,,,,,,,,,,,,,,,,,0.29080021381378174,0.08349248766899109,0.16158583760261536,-0.0825207382440567,0.0018958080327138305,1.0943099368887488e-06,0.04299843683838844,0.3103858616589626,0.08846869177335613,0.17439078647958964,-0.08807037951970513,0.002063345562599709,1.5302883094118914e-07,,,,,,,,,,,,
1.2400000000000002,grasp,,,,,,,,,,,,,,,,,,,,,0.3303081691265106,0.09445181488990784,0.18351975083351135,-0.09374485909938812,0.002453472465276718,-4.796977918886114e-06,0.04299843683838844,0.3723784963758109,0.10554805238378415,0.20899666522704258,-0.10565278327508279,0.002475362553727327,1.8368238873110627e-07,,,,,,,,,,,,
1.26,grasp,,,,,,,,,,,,,,,,,,,,,0.3507639169692993,0.10002197325229645,0.1951058804988861,-0.09952586889266968,0.002288792748004198,1.2783176543962327e-06,0.04299843683838844,0.3723784963758109,0.10554805238378415,0.20899666522704258,-0.10565278327508279,0.002475362553727327,1.8368238873110627e-07,,,,,,,,,,,,
1.28,grasp,,,,,,,,,,,,,,,,,,,,,0.3937843441963196,0.11191881448030472,0.21897782385349274,-0.11174748837947845,0.0028927007224410772,-4.989155968360137e-06,0.04299843683838844,0.43959223113510065,0.12401448356900908,0.24649725122509203,-0.12471562666974748,0.0029220718365566317,2.1691705043903264e-07,,,,,,,,,,,,
1.3,grasp,,,,,,,,,,,,,,,,,,,,,0.4160572588443756,0.11796702444553375,0.23158034682273865,-0.11804230511188507,0.002717316849157214,1.4662210787719232e-06,0.04299843683838844,0.43959223113510065,0.12401448356900908,0.24649725122509203,-0.12471562666974748,0.0029220718365566317,2.1691705043903264e-07,,,,,,,,,,,,
1.32,grasp,,,,,,,,,,,,,,,,,,,,,0.46234583854675293,0.13073204457759857,0.25725430250167847,-0.13119195401668549,0.0033635632134974003,-5.133197191753425e-06,0.04299843683838844,0.5116304152225113,0.14375391287822498,0.28666925752561556,-0.14514643525775534,0.0034008360003233993,2.5253664389608966e-07,,,,,,,,,,,,
1.34,grasp,,,,,,,,,,,,,,,,,,,,,0.48630908131599426,0.1372232884168625,0.2707999050617218,-0.13796477019786835,0.00317899021320045,1.6553096884308616e-06,0.04299843683838844,0.5116304152225113,0.14375391287822498,0.28666925752561556,-0.14514643525775534,0.0034008360003233993,2.5253664389608966e-07,,,,,,,,,,,,
